Other Songs I Know	Artists	ID	ExCol
Eazy	The Game, Kanye West	Eazy	spotify:track:6Ab81Bs9fcOwaTYuBsUUpI
The Mess - The 1975 Remix	The Naked And Famous, The 1975	In Rolling Waves	spotify:track:1Q2TJpVreEKQHquQ3LQZ0t
GUESS WHAT (feat. Rick Ross)	Russ, Rick Ross	SHAKE THE SNOW GLOBE	spotify:track:40FUPlp2KJvdHY5ABnK100
Experiment On Me	Halsey	Birds of Prey: The Album	spotify:track:2xVuumAfdJpWCqqYZbTI1Q
Not You Too (feat. Chris Brown)	Drake, Chris Brown	Dark Lane Demo Tapes	spotify:track:3Q4gttWQ6hxqWOa3tHoTNi
Vale Per Sempre (feat. Alessia Cara)	Eros Ramazzotti, Alessia Cara	Vita Ce N'è	spotify:track:429a3U8ntDRTkTNyUTL8Lo
Ok Ok pt 2	Kanye West	Donda (Deluxe)	spotify:track:76JygoN64nFFsgOEAPVlzO
All Falls Down - Live From The House of Blues/2004	Kanye West, Syleena Johnson	All Falls Down (Live From The House of Blues)	spotify:track:1V7mKfA04Mj0dZWUs8DmYQ
Cuore nerd (feat. Alessia Cara)	J-AX, Fedez, Alessia Cara	Comunisti col Rolex	spotify:track:0AJnW3SLCVOpJCYASCVvD7
Message In A Bottle (Fat Max G Remix) (Taylor’s Version)	Taylor Swift, Fat Max Gsus	Message In A Bottle (Fat Max G Remix) (Taylor’s Version)	spotify:track:1yYkset0nTuUteJQMl5Tx0
Best Days - Takis Remix	Alessia Cara, Takis	Best Days (The Remixes)	spotify:track:64mfTSNXuoAaENmZgb8sYO
Hit	DaBaby, YoungBoy Never Broke Again	Hit	spotify:track:7aZrmPqodHy4qlKeyjAgDQ
Sunset (with J. Cole feat. Young Nudy)	Dreamville, J. Cole, Young Nudy	Revenge Of The Dreamers III: Director's Cut	spotify:track:1RSjLwX6inbcfF23cuqgrM
IMY2 (with Kid Cudi)	Drake, Kid Cudi	Certified Lover Boy	spotify:track:7F9cT6hIRhnFCYP6GKS0tf
Get Along Better	Drake, Ty Dolla $ign	Certified Lover Boy	spotify:track:5ScbulRnixQ2XAdvrPMFjz
GOOD GRIEF	cleopatrick	GOOD GRIEF	spotify:track:1Bq3Pa95GhA8XBUWDPLhGZ
Stressed (with J. Cole & T-Shyne)	Young Thug, J. Cole, T-Shyne	Punk	spotify:track:0uqsdBw9KvD8jSWmfMmMAp
Everywhere	Lxury	Into the Everywhere	spotify:track:6LTgV9HyZF1R8cGnIxL9Za
1 0 0 . m i l ‘ (with Bas)	J. Cole, Bas	The Off-Season	spotify:track:4n6NDfYake476trCjJRNl0
a p p l y i n g . p r e s s u r e	J. Cole	The Off-Season	spotify:track:1d7q712nXjG98HiwHk7HFS
Hell	Jim Adkins	Hell	spotify:track:3vFoiKbS6cHQQbWxV6OTIz
Sausage Rolls for Everyone	LadBaby, Ed Sheeran, Elton John	Sausage Rolls for Everyone	spotify:track:05N7K5msPbY3AE5h1i1DlF
Dope Man	Royce Da 5'9", Emanny, Cedric The Entertainer	The Allegory	spotify:track:2PIZ3tn5nRpplnXMUmwP62
I Don't Age	Royce Da 5'9"	The Allegory	spotify:track:5Ns2iC0IhVtnY4B6PKDwqf
Generation Is Broken	Royce Da 5'9"	The Allegory	spotify:track:4Mq2krzeKL2ZKG3rOfj7O8
Overcomer	Royce Da 5'9", Westside Gunn	The Allegory	spotify:track:4UH7za7GQyHIAjcWDP3h86
Black People In America	Royce Da 5'9"	The Allegory	spotify:track:1QHEXAvYMeQHWzsWTvQfRT
Revival (Interlude)	Eminem	Revival	spotify:track:74dQwVKuCx6aDI2BQ7xW92
Interlude 1 (Salute) - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:2D09gP1cMLYocnke4mDuCN
Black History - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:0UKTn7rxWCIhdTQQGu3Ebu
1 of the Hardest - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:5uBm0A4mlJ6AQ7Duocbh56
Era - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:026k3VQ3PHstVYm5gvEzYW
W.O.W. (With out Warning) - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:59M3RjQzfPyJZMOB9a63br
Respect My Gun - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:69oZXpTVHypKdsHS7sm5xr
Sunflower Seeds - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:0b68ZyAD2pXSGvbSOFAyBp
Interlude 1 (Salute)	PRhyme	PRhyme 2	spotify:track:7s1psoS8wleOnJfrrYpNXB
Loved Ones	PRhyme, Rapsody	PRhyme 2	spotify:track:1IvPqt2y7VqrbcwY9kWJrn
Streets at Night - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:2u2VFT3UXXMHBRDSj6Dk5X
Rock It - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:1HGMOmMlXYdSGnxnk8tc9i
Loved Ones - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:1mjBTbgVOxYkzV8isJ5c81
My Calling - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:5c9jmV002rjPlPqFhdZvtt
Made Man - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:46pPGdRU4NrcHlDCvkgLOG
Wagons	Smoke DZA, Joey Bada$$	George Kush da Button: Don't Pass Trump the Blunt	spotify:track:39TORN21ffGrtBzoyTWVEm
Relationships (Skit) - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:5fZokfRJDjRZaUIIBycYIR
Flirt - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:39t3UAhFuazr4URIQ3ty0l
Everyday Struggle - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:10hFRksHYudx9BY2I3qQLs
Gotta Love It - Instrumental	PRhyme	PRhyme 2 Instrumentals	spotify:track:5zcSAj1go0WdfG3x6FK5Xk
PRhyme - Instrumental	PRhyme	PRhyme Instrumentals	spotify:track:7D4fOHYNB7HBHy17tARmib
Dat Sound Good - Instrumental	PRhyme, Ab-Soul, Mac Miller	PRhyme Instrumentals	spotify:track:0tpeuZBw1I7tczNWMJs1fS
U Looz - Instrumental	PRhyme	PRhyme Instrumentals	spotify:track:4SvhLL809LQaiBJRvAZdyH
You Should Know - Instrumental	PRhyme, Dwele	PRhyme Instrumentals	spotify:track:1LrDJXHbHxlrKiiSZqb6oX
Courtesy - Instrumental	PRhyme	PRhyme Instrumentals	spotify:track:5paeaGXCDvRkMkF1rYuSm6
Wishin' - Instrumental	PRhyme, Common	PRhyme Instrumentals	spotify:track:0b7oBiI72UYYhlzVO0g4c6
To Me, To You - Instrumental	PRhyme, Jay Electronica	PRhyme Instrumentals	spotify:track:18gPqdKJmXuNmKiA0kf8xi
Underground Kings - Instrumental	PRhyme, ScHoolboy Q, Killer Mike	PRhyme Instrumentals	spotify:track:0LmBLDI0DLEm5W2c8QAMiR
Microphone Preem - Instrumental	PRhyme, Slaughterhouse	PRhyme Instrumentals	spotify:track:1nF8f0YgGHNx43OAqz5S16
Growing Pains - BRAVVO Remix	Alessia Cara, BRAVVO	Growing Pains (Remixes Pt. 2)	spotify:track:5PYLyzLdl98hCjBrLRPnsO
Growing Pains - The Kemist Remix	Alessia Cara, The Kemist	Growing Pains (Remixes Pt. 2)	spotify:track:6wry5x5lqjZf2zakffQBn5
Here - Chris Lorenzo Remix	Alessia Cara, Chris Lorenzo	Here (The Remixes)	spotify:track:43IERoI7NDFaL3BlhTwq6V
Here - Imanos & Gramercy Remix	Alessia Cara, Imanos & Gramercy	Here (The Remixes)	spotify:track:1hwYhOYmG2pscbFvcZ7G8D
Countdown - Interlude	Kacey Musgraves	The Kacey Musgraves Christmas Show	spotify:track:2zGTLZsUIpDrCW1fY4Uule
Amp It Up, Dan - Interlude	Kacey Musgraves	The Kacey Musgraves Christmas Show	spotify:track:5pjt9LpiZq9fmW0s4sJnsY
Christmas Fail - Interlude	Kacey Musgraves	The Kacey Musgraves Christmas Show	spotify:track:3HRMJqMNO9bLxhQDYvL1Yk
Cookies - Interlude	Kacey Musgraves	The Kacey Musgraves Christmas Show	spotify:track:4qLpLrzUD8V61mjEUX2A1S
NANA! - Interlude	Kacey Musgraves	The Kacey Musgraves Christmas Show	spotify:track:78pZQ7aYRL6jHaQsFmoHs9
Rosetta Stone (feat. Vado & Nyemiah Supreme)	183rd, Smoke DZA, Nyemiah Supreme, Vado	Uptown	spotify:track:45W6LyX06ZDe0akot9UcjF
Bigger Than You (feat. Drake & Quavo)	2 Chainz, Drake, Quavo	Bigger Than You feat. Drake & Quavo	spotify:track:6KlX7QCrOD9qLQVO1FEgSa
Wassup	Logic, Big Sean	Bobby Tarantino II	spotify:track:5KVciTEfXvpcFHR3RFbtJy
All Falls Down [Jethro Sheeran Remix]	Alonestar, Ed Sheeran, Jethro Sheeran	All Falls Down [Jethro Sheeran Remix]	spotify:track:0QME3xLl1C8Yq8vP9x8xvY
All I Can Think About Is You	Coldplay	All I Can Think About Is You	spotify:track:4gDyoe1FImDlXVt58ssnMf
Knockin' Boots	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:6PFc90e8dlmDpWqWy4GdoX
Fair Trade (with Travis Scott)	Drake, Travis Scott	Certified Lover Boy	spotify:track:40iJIUlhi6renaREYGeIDS
High Horse - Kue Remix	Kacey Musgraves, DJ Kue	High Horse Remix	spotify:track:4uD3M8K5kxryLFRCWPSkc4
What's the Score - Digital Farm Animals Remix	Ady Suleiman, Joey Bada$$, Digital Farm Animals	What's the Score (Remixes)	spotify:track:2k83sZXXarZ2LQ3569I4Ts
Blow Us All Away	Ariana DeBose, Sasha Hutchings, Ephraim Sykes, Lin-Manuel Miranda, Original Broadway Cast of Hamilton, Anthony Ramos	Hamilton (Original Broadway Cast Recording)	spotify:track:6lsFGDo1IEEPFKh94c9kFe
P power (feat. Drake)	Gunna, Drake	DS4EVER	spotify:track:0lEjxUUlKqjqXrVlIHFduD
Intro	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:0xrjp1bEvNIZ3S8lYdyHqd
My Parallel (Skit)	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:0PzmtsfFB1w2wuOukB2oFT
Who Are You (Skit)	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:6gEw5FPI3UyTyoO1YzDmB3
New Divide - Instrumental	Linkin Park	New Divide	spotify:track:4RmdFYX875WjuTR9805pSQ
New Divide - Acapella	Linkin Park	New Divide	spotify:track:3cgnJUJXiCBG5GnqBYEmst
Amazing (feat. Melanie Rutherford)	Royce Da 5'9", Melanie Rutherford	Book of Ryan (Bonus Track Edition)	spotify:track:5wW87wQv7sYGmG6QP0hgCM
Where Are We Goin'	Luke Bryan	Born Here Live Here Die Here (Deluxe Edition)	spotify:track:3dcTMx02iVjwz3KchwYl0n
The Feeling (feat. Logic)	John Lindahl, Logic	Changes	spotify:track:5JZAqLY0pdRsIiQaDAhLWA
Burn the Pages	Sia	1000 Forms Of Fear	spotify:track:65wEaW5gwitTZt8JA7iugo
Guilty All the Same - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:3xyQawzvHeSMGowhomelrY
Until It's Gone - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:1TwRzVJbLiSpn1Zvg1qdJT
The Jackie (with J. Cole & Lil Tjay)	Bas, J. Cole, Lil Tjay	The Jackie (with J. Cole & Lil Tjay)	spotify:track:15qKrPi4Kg0z7g9HlwWyeb
Power	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:7gSp4WMbIeFJOSzls0rjNl
Protecting Ryan (Skit)	Royce Da 5'9"	Book of Ryan (Bonus Track Edition)	spotify:track:0nlV0gDozNyaM1nwnLspqW
American Psycho	D12	Devils Night	spotify:track:2XTGgYVwL96mQ9pUNAIQZF
Caterpillar Remix (feat. Logic & King Green)	Royce Da 5'9", King Green, Logic	Book of Ryan (Bonus Track Edition)	spotify:track:6W7al5PX9YorILsXNJ9LWs
All for Nothing - Instrumental	Linkin Park, Page Hamilton	The Hunting Party: Acapellas + Instrumentals	spotify:track:3qQ3smLfkubCmu1x4oaMSe
Wastelands - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:1f5JvzsEzhxkarNMnbsIPH
Rebellion - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:5NqrrghKiFxeFKnE5pHJHJ
Mark the Graves - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:4RMx1uAqYzktbxwtzeQ6qh
Drawbar - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:5UPMgH2n4WCfq1qiH2wiRM
Final Masquerade - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:01cQH1jlneRfdx0WEZXdl3
A Line in the Sand - Instrumental	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:7xoND4TuKzKiLOIMZI2TF9
Getting Ready - Interlude	Kacey Musgraves	The Kacey Musgraves Christmas Show	spotify:track:2kqSxKuuslhmuFGmfzGJ9a
The Radiance	Linkin Park	A Thousand Suns	spotify:track:4qb2AKvnaDdvJJnKmxo9ST
All for Nothing (feat. Page Hamilton) - Acapella	Linkin Park, Page Hamilton	The Hunting Party: Acapellas + Instrumentals	spotify:track:1iRceKmgsTM0Jzdffv67in
Guilty All the Same (feat. Rakim) - Acapella	Linkin Park, Rakim	The Hunting Party: Acapellas + Instrumentals	spotify:track:7lh5Qtd8qLz5pgXKJt5Jec
Wastelands - Acapella	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:5ptisa1hZfLqIsAYaBEMWT
Crush - Nevins Extended Instrumental	David Archuleta, Jason Nevins	Crush (Remixes)	spotify:track:0r7ai59DgP7jsPJkxNUq9G
Until It's Gone - Acapella	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:1iayd5QSaeKsCEn21bSFmx
Rebellion (feat. Daron Malakian) - Acapella	Linkin Park, Daron Malakian	The Hunting Party: Acapellas + Instrumentals	spotify:track:4XDGzPuDpogrEba7nHWjgK
Mark the Graves - Acapella	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:1JKM9DcIhYQkBEihshkMU4
Final Masquerade - Acapella	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:2NUkzVPcw4SRv7XAjswERg
A Line in the Sand - Acapella	Linkin Park	The Hunting Party: Acapellas + Instrumentals	spotify:track:7citf5214AFYEe8k5anqu3
Crush - Nevins Radio Instrumental	David Archuleta, Jason Nevins	Crush (Remixes)	spotify:track:7CaGl2Uc3TVFlfehh0B531
Crush - Instrumental Version	David Archuleta	Crush (Remixes)	spotify:track:1inEj9Nw6yHuj8lMo1gj8m
New Again	Kanye West	Donda (Deluxe)	spotify:track:2ZV2BPm2SmqCZEGCfjQdpX
All I Want - Everything Everything Remix	Kodaline, Everything Everything	In A Perfect World (Collection)	spotify:track:7tvKulSupwFshD8cGMxSlj
Trust My Lonely - Kenyi Remix	Alessia Cara, Kenyi	Trust My Lonely (Remixes)	spotify:track:3qJCc5SUx65zONxmq9VGxP
The One - Sniper Remix	Cassius Henry, Freeway, Kanye West, Sniper Remix	The One (feat. Freeway)	spotify:track:3iuZU2leDlfz3UtS4U86Oq
The One - Sequel Remix	Cassius Henry, Kanye West, Freeway, Sequel	The One (feat. Freeway)	spotify:track:0x8nJv6MI8TIy8boWfOabl
Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9", and Eminem)	Big Sean, Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9", Eminem	Detroit 2	spotify:track:2kY2ROHIGdp3aA6ahqaUKm
A Little Too Not Over You - Instrumental Version	David Archuleta	A Little Too Not Over You (Remixes)	spotify:track:19T9E0vgjqyetoo1rn1Js5
Colors pt. II - Live From Webster Hall	Halsey	BADLANDS (Live From Webster Hall)	spotify:track:4hLGqLXIGSsVoR3Sfl8LdW
Go Off - Spokewheel Remix	Spokewheel, Kid Vishis, Royce Da 5'9"	Go Off (Spokewheel Remix)	spotify:track:2FmrE0nPb6b2WWuGQMo4fn
Freeee (Ghost Town Pt. 2)	KIDS SEE GHOSTS, Ty Dolla $ign	KIDS SEE GHOSTS	spotify:track:7GRTrWsP3yo2Fx8umJfA1X
Flute (feat. Joey Bada$$, CJ Fly of Pro Era)	Buckshot, P. Money, Joey Bada$$, CJ Fly of Pro Era	BackPack Travels	spotify:track:3Y5F2X8WeaRHVmlARRVdwd
Where the Country Girls At	Trace Adkins, Luke Bryan, Pitbull	Where the Country Girls At	spotify:track:4gWJbaqIKRSxhSjknJ1upH
A Little Too Not Over You - Mental Instruments Remix	David Archuleta	A Little Too Not Over You (Remixes)	spotify:track:0BtbVyMETnM5jRUK8hkbqn
A Little Too Not Over You - Jason Nevins Radio Mix	David Archuleta, Jason Nevins	A Little Too Not Over You (Remixes)	spotify:track:2ErRopwzRIJDxetsj6lLs7
Haul Away Joe	Kodaline	The Finest Hours (Original Motion Picture Soundtrack)	spotify:track:58BiRUbkGowKiJ8VI2YKsK
She Loves Me	Eminem	Music To Be Murdered By - Side B (Deluxe Edition)	spotify:track:0BUFqsMsqAmKQPhLBXnmv7
E du her	Kristian Kristensen	Gressholmen	spotify:track:02rTcrYOqqsfOEftbWmOMu
Crush - Tonal Club	David Archuleta, Alex Lasarenko, Matt Pendergast	Crush (Remixes)	spotify:track:6xxdIKI9j4OlBs0mzAFlJc
Season Of The Witch	Lana Del Rey	Season Of The Witch (From The Motion Picture "Scary Stories To Tell In The Dark")	spotify:track:5DSi7heBC8eTIFROBvttnp
Fire	KIDS SEE GHOSTS	KIDS SEE GHOSTS	spotify:track:7oHkit3F3vimtsBbnZkU0G
Funny - Breathe Carolina Remix	Zedd, Jasmine Thompson, Breathe Carolina	Funny (Remixes)	spotify:track:5qFxwk3aRCzq0U8HKLfWRB
Crush - Mike Rizzo Funk Generation Radio	David Archuleta, Mike Rizzo	Crush (Remixes)	spotify:track:06HaZmnBWJsPYZLYMKxeJW
Landed	Drake	Dark Lane Demo Tapes	spotify:track:3KixNgUEaDtrKJVzdqjU5q
Bizarre - Skit	D12	D-12 World	spotify:track:0P1rl0AimB25akSz0NqAl1
you broke me first - Gryffin Remix	Tate McRae, Gryffin	you broke me first (Gryffin Remix)	spotify:track:3Ni9jLlq3xPoOKv1HYlQrH
Slidin	Trae Tha Truth	Exhale	spotify:track:46rrAgT0z0MO7B0aw5flx4
Too Gone (feat. Khalid)	Rich The Kid, Khalid	The World Is Yours	spotify:track:4j30n3zuJQJ5qGA6rSTaST
Fall Threw (feat. Young Thug & Gunna)	Rich The Kid, Young Thug, Gunna	The World Is Yours 2	spotify:track:4bi9YrkOvmg4Eb7h00AW2c
Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)	Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande	Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)	spotify:track:1N90cV79gbBgO0bOs74Y0t
KIKA	6ix9ine, Tory Lanez	DUMMY BOY	spotify:track:6Gy7rXB6Ku5vIWC7WGWsl3
Prison Blue Eyes	Chadwick Stokes	The Horse Comanche	spotify:track:3ujGN1ukiSZzr4rzYQ2qlD
A Little Too Not Over You - Jason Nevins Club Mix	David Archuleta, Jason Nevins	A Little Too Not Over You (Remixes)	spotify:track:7iI0G4EaopOccfvdz3AQyu
Trust My Lonely - Nick Rockwell Remix	Alessia Cara, Nick Rockwell	Trust My Lonely (Remixes)	spotify:track:1HbrPsWn2vYx1g2NFJMYe1
Enough for You	Versvs, Royce Da 5'9"	Enough for You	spotify:track:0dPoMBF50Hr6BZ1nZaHnNX
Crush - Mike Rizzo Funk Generation Dub	David Archuleta, Mike Rizzo	Crush (Remixes)	spotify:track:5dsZuDLAdu1VoM9JEfDzo9
[Riff Raff]	Linkin Park	Reanimation	spotify:track:2h78qPdLgZJpu12Wv1e98J
A Little Too Not Over You - Tonal Remix	David Archuleta, Alexander Lasarenko, Matt Pendergast	A Little Too Not Over You (Remixes)	spotify:track:4ffYVTiEgFmYpMyEUcqRtu
[Chali]	Linkin Park	Reanimation	spotify:track:5cTH5Q0J6B9lhIPOHdNSaA
Ntr\mssion	Linkin Park	Reanimation	spotify:track:2F3d60JJcN9NIQzFDRfHW4
[Stef]	Linkin Park	Reanimation	spotify:track:7o2qghEbpzCUm4IiKjTtVG
Crush - Nevins Extended	David Archuleta, Jason Nevins	Crush (Remixes)	spotify:track:0u1ILcEHxBRbnECVfBNJda
Crush - Tonal Radio	David Archuleta, Alex Lasarenko, Matt Pendergast	Crush (Remixes)	spotify:track:3lgXIsXtTolObR1fLlzFrw
Horizon - from One Night In Malibu	OneRepublic	One Night In Malibu	spotify:track:2B4u4howohJ8kbkWcbuAUM
Brave New World - Interlude	Bastille	Give Me The Future	spotify:track:0UFfcw8VZ0Z6BjVb0hZ0H8
Promises	Bastille, Riz Ahmed	Give Me The Future	spotify:track:0ZROCJXmWl8R28xU2IN6DE
Total Dissociation - Interlude	Bastille	Give Me The Future	spotify:track:1ToJoSXJedDNd35ld4TeGD
Mr. Right Now [ChopNotSlop Remix] (feat. Drake)	21 Savage, Metro Boomin, Drake	SAVAGE MODE II [CHOPPED NOT SLOPPED]	spotify:track:74Xq55d0irPDchHgYMBSHV
Buy Myself - Marilyn Manson Remix	Linkin Park, Marilyn Manson	Reanimation	spotify:track:5TYdxdzOM1558unykwXWDU
Kyur4 Th Ich (Chairman Hahn Reanimation)	Linkin Park	Reanimation	spotify:track:53zw51qaLzcX7kOTlUqAqG
Young World	Royce Da 5'9", Vince Staples, G Perico	The Allegory	spotify:track:3qEOHEsyBMSwmiE3wcCTLn
Say Na (feat. J. Cole)	Moneybagg Yo, J. Cole	RESET	spotify:track:48t1aADyfDbDA3TzxqQHrN
Scared Money (feat. J. Cole and Moneybagg Yo)	YG, J. Cole, Moneybagg Yo	Scared Money	spotify:track:2Hx1mh53UrenoKsIvYxKdQ
I Choose - From The Netflix Original Film The Willoughbys / MK Remix	Alessia Cara, MK	I Choose (From The Netflix Original Film The Willoughbys / MK Remix)	spotify:track:0Lhvwdd9mtdmhdNAiKgk7P
Ur So F**kInG cOoL (blackbear Remix)	Tones And I	Ur So F**kInG cOoL (blackbear Remix)	spotify:track:5g29XPi9bGxZYcdvyyO2vb
Ain't That Some Shit (Interlude)	J. Cole	Born Sinner	spotify:track:5Je1fS7wNMhngKuU0fKUvw
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]	ILLENIUM, Jon Bellion, Tiësto	Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]	spotify:track:6m8SIT10j41SPpPFOknTmP
Ten Duel Commandments	Lin-Manuel Miranda, Jon Rua, Leslie Odom Jr., Original Broadway Cast of Hamilton, Anthony Ramos	Hamilton (Original Broadway Cast Recording)	spotify:track:3lXyAQ0kekAvY5LodpWmUs
Back To The Innerverse - Interlude	Bastille	Give Me The Future (Deluxe Edition)	spotify:track:4IVnhApTWcFW4MwD6uM2TC
What's the Score - Vesper Remix	Ady Suleiman, Joey Bada$$, Vesper	What's the Score (Remixes)	spotify:track:5lagFg7EBHX5HS3d47Bch2
In the End (Demo) - LPU Rarities	Linkin Park	Hybrid Theory (20th Anniversary Edition)	spotify:track:0MLB5HZcNJsjDSvr7SodSP
Young Heart	Kara Marni, Russ	Young Heart	spotify:track:34doO7AMIw782WUAprziug
Octopus's Garden - Live	The Head And The Heart	Ringo Starr : The Lifetime Of Peace & Love Tribute Concert - Benefiting The David Lynch Foundation (Live)	spotify:track:2YjxYSTTfok13GtMNwzem7
Meet Me Inside	Lin-Manuel Miranda, Leslie Odom Jr., Christopher Jackson, Original Broadway Cast of Hamilton, Anthony Ramos	Hamilton (Original Broadway Cast Recording)	spotify:track:6p7jXaTJdpzGWnOJoK2jYr
Blue on Black (Outlaws Remix)	Five Finger Death Punch, Brian May, Brantley Gilbert, Kenny Wayne Shepherd	Blue on Black (Outlaws Remix)	spotify:track:5Vb5SjoyqkOOIMhyF1Zkta
Blue on Black	Five Finger Death Punch, Brian May, Brantley Gilbert, Kenny Wayne Shepherd	Blue on Black	spotify:track:0JHREzo9WzIP4vyybhSKPa
All Falls Down - Dance Remix	Alonestar, Ed Sheeran	All Falls Down (Dance Remix)	spotify:track:0apX3nO4Qwba0MfPyMphzT
City of Gods	Fivio Foreign, Kanye West, Alicia Keys	City of Gods	spotify:track:4huBDGP4I3S0pYI0EaRN1c
I Know You (feat. Bastille) - Sobr Remix	Craig David, Bastille, Sobr	I Know You (Remixes) (feat. Bastille)	spotify:track:5i5sbk1Y6uZTYhtfvN8pAH
I Know You (feat. Bastille) - Vigiland Remix	Craig David, Bastille, Vigiland	I Know You (Remixes) (feat. Bastille)	spotify:track:1byydVLDAt7An5Pk3SuL5j
Technique (Short) - Hybrid Theory EP	Linkin Park	Hybrid Theory (20th Anniversary Edition)	spotify:track:1tC6pl3ivmgcxSj4PGmiJR
(All Along The) Watchtower	Devlin, Ed Sheeran	A Moving Picture (Deluxe Edition)	spotify:track:3pdNMhwraAu0pd1EmOI1cn
TINFOIL	Linkin Park	LIVING THINGS	spotify:track:5zoETs17V8PJkeGmB0Iagw
Book of Rhymes (feat. DJ Premier)	Eminem, DJ Premier	Music To Be Murdered By - Side B (Deluxe Edition)	spotify:track:08ir631EiCA7xIms7JDp15
Stick and Move ("Runaway" Demo 1998) - LPU Rarities	Linkin Park	Hybrid Theory (20th Anniversary Edition)	spotify:track:1V4UX0FcfwrQU73W9Nu9vQ
Revelation	D12	Devils Night	spotify:track:4kDKnmrjIAMp25M8NgP6YP
She Way Out - Cid Rim Remix	The 1975, Cid Rim	The 1975 (Deluxe Version)	spotify:track:1hZy8eNws877avSXFpif9M
Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)	Dreamville, JID, Bas, J. Cole, EARTHGANG, Young Nudy	1-888-88-DREAM	spotify:track:4eqrNsKy9Mvg1fvfsTVIAE
Slow Jamz	Twista, Kanye West, Jamie Foxx	The College Dropout	spotify:track:32UioUCnMFsr2UN7SvDyXj
Em Calls Paul - Skit	Eminem	Kamikaze	spotify:track:6B3zy3LOKHndqsviCr2z15
Mixed Personalities (feat. Kanye West)	YNW Melly, Kanye West	We All Shine	spotify:track:6vWEAOUSxohKxhp0K1BsxL
Grip - Jay Pryor Remix	Seeb, Bastille, Jay Pryor	Grip (Jay Pryor Remix)	spotify:track:0xARbGHzPT1o5t1sFlmyO2
emo girl (feat. WILLOW)	Machine Gun Kelly, WILLOW	emo girl (feat. WILLOW)	spotify:track:2AAyBZmMVZSZfgzXRYJOWQ
Coffee Shop Soundtrack	All Time Low	All Time Low - MTV Unplugged	spotify:track:58HUWedHiQfYdIlFvZUkxN
Auld Lang Syne	Ben Rector	Jingles and Bells	spotify:track:0F36Va0CeyT4BGLp5XnowS
CLOUDS	NF	CLOUDS (THE MIXTAPE)	spotify:track:1mvI5pGoh84IiFSbWxEkGH
1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)	Dreamville, J. Cole, JID, Cozz, EARTHGANG, Smino, Buddy	Revenge Of The Dreamers III	spotify:track:1KbCc89SxYma4BnBChkJBs
305 To My City	Drake, Detail	Nothing Was The Same (Deluxe)	spotify:track:1y9g5UW31xBqvOi10tcXGX
